Short Name,Long Name
1,01.Mid.010
3,01.Mid.100
4,01.Mid.801
5,01.Mid.802
6,01.Mid.803
8,01.Mid.851
9,01.Mid.853
10,01.Mid.854
11,01.Mid.855
12,01.Oost.010
13,01.Oost.050
14,01.Oost.110
15,01.Oost.150
16,01.Oost.170
17,01.Oost.180
18,01.Oost.190
19,01.Oost.240
20,01.Oost.310
21,01.Oost.320
22,01.Oost.321
23,01.Oost.330
24,01.Oost.350
25,01.Oost.370
26,01.Oost.400
27,01.Oost.410
28,01.Oost.430
29,01.Oost.450
30,01.Oost.470
31,01.Oost.500
32,01.Oost.510
33,01.Oost.530
34,01.Oost.560
35,01.Oost.620
36,01.Oost.700
37,01.Oost.710
38,01.Oost.720
39,01.Oost.740
40,01.Oost.760
41,01.Oost.800
43,01.Oost.802
44,01.Oost.804
45,01.Oost.805
46,01.Oost.807
47,01.Oost.808
48,01.Oost.809
49,01.Oost.810
50,01.Oost.812
51,01.Oost.841
52,01.Oost.842
53,01.Oost.852
54,01.Oost.853
55,01.Oost.854
56,01.Oost.857
57,01.Oost.858
58,01.Oost.859
59,01.Oost.864
62,01.Oost.867
63,01.Oost.868
65,01.Oost.891
66,01.Oost.940
67,01.Oost.950
68,01.West.010
69,01.West.020
70,01.West.030
71,01.West.040
72,01.West.050
73,01.West.060
74,01.West.080
75,01.West.085
76,01.West.090
77,01.West.095
78,01.West.100
79,01.West.105
80,01.West.110
81,01.West.120
82,01.West.130
83,01.West.150
84,01.West.160
85,01.West.170
86,01.West.200
87,01.West.230
88,01.West.250
89,01.West.270
90,01.West.290
91,01.West.300
92,01.West.310
93,01.West.320
94,01.West.321
95,01.West.350
96,01.West.360
97,01.West.370
98,01.West.430
99,01.West.501
100,01.West.510
101,01.West.520
102,01.West.530
103,01.West.540
104,01.West.550
105,01.West.600
106,01.West.610
107,01.West.620
108,01.West.630
109,01.West.640
110,01.West.650
111,01.West.670
112,01.West.690
113,01.West.700
114,01.West.710
115,01.West.720
116,01.West.730
117,01.West.740
118,01.West.750
119,01.West.760
120,01.West.770
121,01.West.771
122,01.West.780
123,01.West.790
124,01.West.800
125,01.West.801
126,01.West.802
127,01.West.803
128,01.West.804
129,01.West.806
130,01.West.807
131,01.West.808
132,01.West.812
133,01.West.813
134,01.West.815
135,01.West.817
136,01.West.849
137,01.West.851
138,01.West.852
139,01.West.853
140,01.West.854
141,01.West.856
142,01.West.857
143,01.West.858
144,01.West.859
145,01.West.861
146,01.West.862
147,01.West.863
148,01.West.866
149,01.west.867
150,01+.Mid.010
151,01+.Mid.020
152,01+.Mid.030
153,01+.Mid.070
154,01+.Mid.801
155,01+.Mid.802
157,01+.Mid.853
159,01+.Mid.855
160,01+.Oost.180
161,01+.Oost.700
162,01+.Oost.710
163,01+.Oost.730
164,01+.Oost.760
166,01+.Oost.810
169,01+.Oost.860
170,01+.Oost.867
173,01+.West.010
174,01+.West.020
175,01+.West.030
176,01+.West.040
177,01+.West.041
178,01+.West.100
179,01+.West.110
180,01+.West.120
181,01+.West.130
182,01+.West.140
183,01+.West.150
184,01+.West.180
185,01+.West.200
186,01+.West.210
187,01+.West.220
188,01+.West.230
189,01+.West.240
190,01+.West.250
191,01+.West.300
192,01+.West.320
193,01+.West.370
194,01+.West.410
195,01+.West.550
196,01+.West.610
197,01+.West.630
198,01+.West.650
199,01+.West.670
200,01+.West.690
201,01+.West.801
202,01+.West.802
203,01+.West.803
204,01+.West.804
206,01+.West.850
213,01+.West.866
215,02.Mid.010
216,02.Mid.040
217,02.Mid.050
218,02.Mid.100
219,02.Mid.110
223,02.Oost.010
224,02.Oost.170
225,02.Oost.180
226,02.Oost.200
227,02.Oost.240
228,02.Oost.300
229,02.Oost.310
230,02.Oost.321
231,02.Oost.370
232,02.Oost.380
233,02.Oost.400
234,02.Oost.470
235,02.Oost.500
236,02.Oost.510
237,02.Oost.530
238,02.Oost.600
239,02.Oost.700
240,02.Oost.801
241,02.Oost.804
243,02.Oost.854
244,02.Oost.859
245,02.West.010
246,02.West.030
247,02.West.040
248,02.West.050
249,02.West.060
251,02.West.100
252,02.West.110
253,02.West.130
254,02.West.200
255,02.West.300
256,02.West.320
257,02.West.350
258,02.West.380
259,02.West.430
260,02.West.500
261,02.West.550
262,02.West.560
263,02.West.600
264,02.West.610
265,02.West.630
266,02.West.650
267,02.West.700
268,02.West.800
269,02.West.802
270,02.West.806
271,02.West.808
272,02.West.852
273,02.West.854
274,02.West.859
275,02.West.863
291,BG.Mid.010
292,BG.Mid.020
293,BG.Mid.030
294,BG.Mid.050
295,BG.Mid.060
296,BG.Mid.080
297,BG.Mid.110
298,BG.Mid.120
299,BG.Mid.130
300,BG.Mid.140
301,BG.Mid.801
302,BG.Mid.802
303,BG.Mid.803
304,BG.Mid.804
305,BG.Mid.852
306,BG.Mid.853
307,BG.Mid.856
308,BG.oost 010
309,BG.Oost 809
310,BG.Oost.010
311,BG.Oost.050
312,BG.Oost.060
313,BG.Oost.070
314,BG.Oost.080
315,BG.Oost.090
316,BG.Oost.110
317,BG.Oost.150
318,BG.Oost.170
319,BG.Oost.180
320,BG.Oost.190
321,BG.Oost.210
322,BG.Oost.220
323,BG.Oost.240
324,BG.Oost.250
325,BG.Oost.251
326,BG.Oost.310
327,BG.Oost.320
328,BG.Oost.321
329,BG.Oost.330
330,BG.Oost.350
331,BG.Oost.370
332,BG.Oost.410
333,BG.Oost.430
334,BG.Oost.450
335,BG.Oost.470
336,BG.Oost.490
337,BG.Oost.500
338,BG.Oost.510
339,BG.Oost.530
340,BG.Oost.550
341,BG.Oost.560
342,BG.Oost.600
343,BG.Oost.620
344,BG.Oost.700
345,BG.Oost.760
346,BG.Oost.800
347,BG.Oost.801
348,BG.Oost.802
349,BG.Oost.803
350,BG.Oost.804
351,BG.Oost.805
353,BG.Oost.808
354,BG.Oost.810
355,BG.Oost.812
356,BG.Oost.813
357,BG.Oost.814
359,BG.Oost.830
360,BG.Oost.842
361,BG.Oost.843
362,BG.Oost.851
363,BG.Oost.852
364,BG.Oost.853
365,BG.Oost.854
367,BG.Oost.856
368,BG.Oost.859
370,BG.Oost.862
372,BG.Oost.891
373,BG.Oost.900
374,BG.Oost.930
375,BG.Oost.940
376,BG.Oost.950
377,BG.West 501
378,BG.West.010
379,BG.West.030
380,BG.West.080
381,BG.West.090
382,BG.West.100
383,BG.West.110
384,BG.West.130
386,BG.West.150
387,BG.West.160
388,BG.West.170
389,BG.West.200
390,BG.West.201
391,BG.West.202
392,BG.West.230
393,BG.West.250
394,BG.West.270
395,BG.West.290
396,BG.West.300
398,BG.West.310
399,BG.West.320
400,BG.West.340
